seed,control,memory_direction,memory_delta,anti_similarity,anti_similarity_delta,mini_reconstruction,mini_reconstruction_delta
1,27603,27603,0,27750,147,27603,0
2,27603,27603,0,27603,0,27603,0
3,27603,27603,0,27603,0,27603,0
4,27603,28044,441,28191,588,27603,0
5,27603,28590,987,27603,0,27603,0
6,27603,27603,0,27603,0,27603,0
7,28044,27603,-441,27603,-441,27603,-441
8,27603,27603,0,27603,0,27603,0
9,27603,28084,481,28044,441,27603,0
10,27603,27603,0,27603,0,27603,0
