experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,total_fitness_evaluations,best_route
v9-edge-memory-final-50runs,v9,wi29,28,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,33.36395513499974,21842,155076,19846,7915,172219,2,5800,23200,0,2,0,0,0,0,0,8944,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399417,2706396,90077,170691,170691,0,7104,6669,6.111056333619847,1044.6367705385755,12664,100.0,64158962,12664,170691,0,232158,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,29,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,36.352399237999634,22122,154590,19244,8149,172587,4,10587,42347,1,4,0,0,0,0,0,11077,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392573,2706396,90422,171538,171538,0,6867,6670,5.856097226625533,1001.7055171448892,12257,100.0,64668086,12257,171538,0,253442,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,30,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28779,27603,1176,4.260406477556788,no,33.072423226000865,23038,152764,19823,7405,172752,1,2900,11600,0,1,0,0,0,0,0,9004,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425401,2706396,90055,170413,170413,0,8001,6668,6.310670039653588,1009.0677295746217,13273,100.0,63798840,13273,170413,0,220616,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,31,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,33.37306496200017,23076,152546,18443,7574,173963,2,4616,18463,1,2,0,0,0,0,0,8338,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402955,2706396,91016,172695,172695,0,7227,6668,5.834128011356077,990.8137757317814,12733,100.0,64944572,12733,172695,0,226815,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,32,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28779,27603,1176,4.260406477556788,no,32.82852253300007,23416,152051,18309,7812,173859,1,2900,11600,0,1,0,0,0,0,0,8160,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432129,2706396,90925,171692,171692,0,8233,6668,6.304083272738579,1011.0553025184633,13488,100.0,64230824,13488,171692,0,219772,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,33,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,31.32692154600045,23112,152595,17383,8720,173877,1,2900,11600,0,1,0,0,0,0,0,8290,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399417,2706396,91552,174155,174155,0,7105,6668,6.058206858605895,1053.8688409749936,12724,100.0,65540986,12724,174155,0,219902,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,34,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,32.829354172999956,22275,154108,13532,10160,176288,2,5800,23200,0,2,0,0,0,0,0,7956,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393733,2706396,92999,176358,176358,0,6908,6669,5.988793255929884,1016.6314938931038,12557,100.0,66503206,12557,176358,0,231170,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,35,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28044,27603,441,1.5976524290837952,no,34.87857918700047,22260,154437,21742,7705,170533,4,10406,41623,1,4,0,0,0,0,0,12465,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397155,2706396,89133,169253,169253,0,7025,6670,6.118790516492011,1096.5318901289786,12649,100.0,63581224,12649,169253,0,254106,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v9-edge-memory-final-50runs,v9,wi29,36,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.229287529999965,22999,152789,17661,8303,174016,6,14896,59582,2,6,0,0,0,0,0,15075,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407015,2706396,90761,171806,171806,0,7364,6671,5.970796183659795,1013.2133278232425,12852,100.0,64535324,12852,171806,0,274679,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,37,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,35.48198219200003,21681,155247,17843,8014,174123,4,11600,46400,0,4,0,0,0,0,0,8778,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407653,2706396,91005,172551,172551,0,7386,6671,6.005526765177587,1054.35761600918,12843,100.0,64841448,12843,172551,0,255196,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,38,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,32.73195983599999,23066,152513,17553,8580,173847,2,5800,23200,0,2,0,0,0,0,0,7862,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407595,2706396,91232,172145,172145,0,7386,6669,5.929830868845596,991.677132649801,12799,100.0,64694476,12799,172145,0,231076,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-final-50runs,v9,wi29,39,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,28779,27603,1176,4.260406477556788,no,32.53977092900004,22582,153552,18616,7608,173756,1,2900,11600,0,1,0,0,0,0,0,7382,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417803,2706396,90895,172829,172829,0,7739,6668,6.402071430222753,1051.7518356294372,13242,100.0,64792322,13242,172829,0,218994,"[0, 1, 5, 9, 10, 11, 12, 13, 16, 17, 14, 18, 21, 22, 20, 28, 27, 25, 19, 24, 26, 23, 15, 8, 6, 2, 3, 7, 4]"
