experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,case_a_mode,case_b_mode,case_b_operator_calls,case_b_operator_successes,case_b_operator_fallbacks,case_b_operator_inserted_edges,case_b_operator_invalid_routes,case_b_mini_reconstruction_calls,case_b_mini_reconstruction_insertions,case_b_mini_reconstruction_fallbacks,case_b_mini_reconstruction_invalid_routes,case_a_operator_calls,case_a_operator_successes,case_a_operator_fallbacks,case_a_operator_inserted_edges,case_a_operator_invalid_routes,iterations_since_global_best_improvement_final,case_a_memory_complement_calls,case_a_memory_complement_insertions,case_a_memory_complement_fallbacks,case_a_suspicious_calls,case_a_suspicious_insertions,case_a_suspicious_fallbacks,case_a_adaptive_calls,case_a_adaptive_level_0,case_a_adaptive_level_1,case_a_adaptive_level_2,case_a_adaptive_insertions,case_a_adaptive_fallbacks,case_a_safe_calls,case_a_safe_insertions,case_a_safe_fallbacks,case_a_safe_invalid_routes,case_a_double_bridge_calls,case_a_double_bridge_successes,case_a_double_bridge_fallbacks,case_a_ga_lite_calls,case_a_ga_lite_successes,case_a_ga_lite_fallbacks,case_a_ga_lite_parent2_population,case_a_ga_lite_parent2_memory,total_fitness_evaluations,best_route
v11-finale,v11,grid_9,11,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0789825100000598,1142,10660,455,2144,11401,1,30,120,0,1,0,0,0,0,0,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12438,25200,8232,17626,17626,0,680,702,3.011665053910843,1.5501020217281596,1289,36.0,588132,1289,17626,0,adaptive_memory_escape,mini_reconstruction,2144,2144,0,6432,0,2144,6432,0,0,455,455,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14206,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v11-finale,v11,grid_9,12,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.076231809998717,1176,10713,636,2244,11120,1,30,120,0,1,0,0,0,0,0,85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12087,25200,8464,18206,18206,0,641,702,2.9815901270795253,1.552050965358718,1231,36.0,611100,1231,18206,0,adaptive_memory_escape,mini_reconstruction,2244,2244,0,6732,0,2244,6732,0,0,636,636,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14227,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v11-finale,v11,grid_9,13,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.101848110996798,1129,10787,584,2481,10935,2,60,240,0,2,0,0,0,0,0,114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12096,25200,8573,18622,18622,0,641,703,3.0113522125876306,1.5452228176064668,1262,36.0,624960,1262,18622,0,adaptive_memory_escape,mini_reconstruction,2481,2481,0,7443,0,2481,7443,0,0,584,584,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14378,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v11-finale,v11,grid_9,14,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0723968090023845,1176,10597,644,1913,11443,1,30,120,0,1,0,0,0,0,0,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12780,25200,8279,17413,17413,0,718,702,3.052527296253517,1.5535743398482644,1279,36.0,580824,1279,17413,0,adaptive_memory_escape,mini_reconstruction,1913,1913,0,5739,0,1913,5739,0,0,644,644,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14212,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v11-finale,v11,grid_9,15,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.07424230900142,1085,10812,906,2762,10332,1,30,120,0,1,0,0,0,0,0,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13122,25200,8813,19229,19229,0,756,702,2.976512967599592,1.5852050682169774,1316,36.0,644868,1316,19229,0,adaptive_memory_escape,mini_reconstruction,2762,2762,0,8286,0,2762,8286,0,0,906,906,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14210,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v11-finale,v11,grid_9,16,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373094,9.414213562373096,-1.7763568394002505e-15,-1.8868881905335425e-14,yes,1.0713386089992127,1173,10610,854,1996,11150,1,30,120,0,1,0,0,0,0,0,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12618,25200,8441,17677,17677,0,700,702,2.9992619055997025,1.5473334512494854,1304,36.0,589428,1304,17677,0,adaptive_memory_escape,mini_reconstruction,1996,1996,0,5988,0,1996,5988,0,0,854,854,0,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14206,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v11-finale,v11,grid_9,17,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0526613090005412,1175,10568,1160,2311,10529,2,60,240,0,2,0,0,0,0,0,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12807,25200,8738,18395,18395,0,720,703,3.0336259223826048,1.548645836497361,1298,36.0,615492,1298,18395,0,adaptive_memory_escape,mini_reconstruction,2311,2311,0,6933,0,2311,6933,0,0,1160,1160,0,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14360,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
v11-finale,v11,grid_9,18,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373094,9.414213562373096,-1.7763568394002505e-15,-1.8868881905335425e-14,yes,1.079600307999499,1056,10804,1029,2404,10567,1,30,120,0,1,0,0,0,0,0,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13248,25200,8748,18777,18777,0,770,702,3.028532200488179,1.5648867955007635,1340,36.0,627732,1340,18777,0,adaptive_memory_escape,mini_reconstruction,2404,2404,0,7212,0,2404,7212,0,0,1029,1029,0,1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14229,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
v11-finale,v11,grid_9,19,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0708278090023668,1102,10677,884,2195,10921,2,60,240,0,2,0,0,0,0,0,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13392,25200,8484,18048,18048,0,785,703,3.122944622839045,1.552606417134364,1346,36.0,601272,1346,18048,0,adaptive_memory_escape,mini_reconstruction,2195,2195,0,6585,0,2195,6585,0,0,884,884,0,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14360,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
v11-finale,v11,grid_9,20,9,20,700,0.1,0.08,0.001,0.08,0.001,,,,,,14020,9.414213562373096,9.414213562373096,0.0,0.0,yes,1.0411093090006034,1176,10453,1544,1804,10652,1,30,120,0,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13311,25200,8658,17774,17774,0,777,702,2.987068509450948,1.5504955924664088,1338,36.0,591696,1338,17774,0,adaptive_memory_escape,mini_reconstruction,1804,1804,0,5412,0,1804,5412,0,0,1544,1544,0,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14169,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
