experiment,algorithm,benchmark,seed,population_size,max_iterations,rho,temperature_start,temperature_min,best_fitness,known_optimum,gap_percent,success,valid_route,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,two_opt_calls,two_opt_candidate_checks,two_opt_improvements,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,memory_ranked_pool_rebuilds,memory_dirty_rebuilds,case_a_calls,case_a_successes,case_a_fallbacks,case_b_calls,case_b_successes,case_b_fallbacks,total_fitness_evaluations,best_route
edge-memory-ana-final,edge_memory_ana,grid_9,16,20,700,0.1,0.08,0.001,9.414213562373094,9.414213562373096,-1.8868881905335425e-14,True,True,1.1685206890106201,1173,10610,854,1996,11150,1,64,2,1,30,120,0,12618,25200,8441,17677,17677,0,700,702,1304,1304,854,854,0,1996,1996,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,17,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.9259941577911377,1175,10568,1160,2311,10529,2,96,3,2,60,240,0,12807,25200,8738,18395,18395,0,720,703,1298,1298,1160,1160,0,2311,2311,0,14264,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,18,20,700,0.1,0.08,0.001,9.414213562373094,9.414213562373096,-1.8868881905335425e-14,True,True,0.8967897891998291,1056,10804,1029,2404,10567,1,87,3,1,30,120,0,13248,25200,8748,18777,18777,0,770,702,1340,1340,1029,1029,0,2404,2404,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,19,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8635470867156982,1102,10677,884,2195,10921,2,96,3,2,60,240,0,13392,25200,8484,18048,18048,0,785,703,1346,1346,884,884,0,2195,2195,0,14264,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,20,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.836327314376831,1176,10453,1544,1804,10652,1,27,0,1,30,120,0,13311,25200,8658,17774,17774,0,777,702,1338,1338,1544,1544,0,1804,1804,0,14142,"[0, 1, 2, 5, 8, 7, 4, 6, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,21,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8595499992370605,1121,10689,986,1656,11358,1,62,2,1,30,120,0,13293,25200,8293,17068,17068,0,775,702,1347,1347,986,986,0,1656,1656,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,22,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8635561466217041,1178,10656,657,2445,10898,1,44,1,1,30,120,0,12609,25200,8470,18415,18415,0,699,702,1268,1268,657,657,0,2445,2445,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,23,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8474104404449463,1125,10662,1437,1717,10846,1,28,1,1,30,120,0,13653,25200,8562,17418,17418,0,815,702,1383,1383,1437,1437,0,1717,1717,0,14142,"[0, 1, 2, 4, 5, 8, 7, 6, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,24,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8490219116210938,1118,10571,1301,2200,10499,1,27,0,1,30,120,0,13725,25200,8763,18348,18348,0,823,702,1396,1396,1301,1301,0,2200,2200,0,14142,"[0, 1, 2, 5, 8, 4, 7, 6, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,25,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8526136875152588,1254,10422,1078,1532,11390,2,99,2,2,60,240,0,12915,25200,8360,17000,17000,0,732,703,1294,1294,1078,1078,0,1532,1532,0,14264,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,26,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.8461599349975586,1273,10420,1136,1784,11080,1,27,0,1,30,120,0,12384,25200,8474,17348,17348,0,674,702,1285,1285,1136,1136,0,1784,1784,0,14142,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,27,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.9177234172821045,1148,10699,791,2384,10825,1,47,2,1,30,120,0,12762,25200,8594,18530,18530,0,716,702,1306,1306,791,791,0,2384,2384,0,14142,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,28,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.872352123260498,1132,10611,1597,1849,10554,1,49,2,1,30,120,0,13221,25200,8655,17648,17648,0,767,702,1349,1349,1597,1597,0,1849,1849,0,14142,"[0, 1, 2, 5, 8, 7, 6, 4, 3]"
edge-memory-ana-final,edge_memory_ana,grid_9,29,20,700,0.1,0.08,0.001,9.414213562373096,9.414213562373096,0.0,True,True,0.852827787399292,1229,10516,757,1777,11466,1,98,4,1,30,120,0,12834,25200,8295,17204,17204,0,724,702,1319,1319,757,757,0,1777,1777,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
edge-memory-ana-final,edge_memory_ana,grid_9,30,20,700,0.1,0.08,0.001,9.414213562373092,9.414213562373096,-3.773776381067085e-14,True,True,0.9017350673675537,1160,10721,832,1810,11358,1,86,3,1,30,120,0,12771,25200,8285,17331,17331,0,717,702,1272,1272,832,832,0,1810,1810,0,14142,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
