experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,best_route
baseline_parameters_v1,v1,wi29,1,29,30,6666,0.15,0.01,0.0001,200010,35519,27603,7916,28.678042241785313,no,7.750530199962668,5347,188779,184657,39,15284,"[0, 1, 5, 3, 2, 6, 8, 10, 21, 22, 28, 27, 25, 24, 26, 23, 15, 19, 16, 20, 17, 18, 14, 13, 12, 11, 9, 7, 4]"
baseline_parameters_v1,v1,wi29,2,29,30,6666,0.15,0.01,0.0001,200010,44570,27603,16967,61.46795638155273,no,14.726586000062525,9958,179364,177666,38,22276,"[0, 1, 10, 4, 3, 2, 6, 8, 15, 23, 13, 12, 7, 5, 9, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 26, 24, 19]"
baseline_parameters_v1,v1,wi29,3,29,30,6666,0.15,0.01,0.0001,200010,53127,27603,25524,92.4682099771764,no,13.561391400056891,12916,174366,166799,36,33145,"[0, 9, 11, 18, 12, 7, 4, 2, 6, 8, 13, 19, 25, 27, 16, 3, 1, 5, 17, 21, 22, 20, 28, 24, 26, 23, 15, 14, 10]"
baseline_parameters_v1,v1,wi29,4,29,30,6666,0.15,0.01,0.0001,200010,44064,27603,16461,59.634822301923705,no,17.409380999975838,9446,180850,176884,39,23057,"[0, 1, 2, 12, 13, 25, 28, 20, 21, 17, 18, 11, 4, 7, 16, 19, 15, 23, 26, 24, 27, 22, 14, 10, 9, 8, 6, 3, 5]"
baseline_parameters_v1,v1,wi29,5,29,30,6666,0.15,0.01,0.0001,200010,30237,27603,2634,9.542441039017499,no,24.840083400020376,6979,184848,183587,41,16352,"[0, 1, 4, 3, 2, 7, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 9, 10, 5]"
baseline_parameters_v1,v1,wi29,6,29,30,6666,0.15,0.01,0.0001,200010,33067,27603,5464,19.79494982429446,no,13.940893200109713,7722,183727,182417,48,17515,"[0, 1, 5, 3, 6, 12, 15, 23, 26, 24, 19, 25, 27, 28, 20, 22, 21, 18, 14, 17, 16, 13, 8, 2, 4, 7, 11, 9, 10]"
baseline_parameters_v1,v1,wi29,7,29,30,6666,0.15,0.01,0.0001,200010,39115,27603,11512,41.705611708872226,no,13.654012299957685,7806,184004,181749,41,18190,"[0, 1, 5, 15, 19, 27, 28, 20, 22, 21, 18, 17, 16, 25, 24, 26, 23, 13, 12, 11, 7, 4, 3, 2, 6, 8, 14, 10, 9]"
baseline_parameters_v1,v1,wi29,8,29,30,6666,0.15,0.01,0.0001,200010,33266,27603,5663,20.515885954425244,no,12.980593700078316,5312,188705,186955,34,12991,"[0, 1, 5, 4, 3, 2, 6, 7, 9, 10, 11, 17, 20, 16, 19, 15, 23, 26, 24, 25, 27, 28, 22, 21, 18, 14, 13, 12, 8]"
baseline_parameters_v1,v1,wi29,9,29,30,6666,0.15,0.01,0.0001,200010,43687,27603,16084,58.26902872876137,no,14.490848100045696,8164,182795,180441,35,19504,"[0, 1, 5, 4, 2, 6, 18, 22, 27, 25, 24, 26, 23, 16, 21, 17, 10, 9, 7, 8, 12, 13, 15, 19, 28, 20, 14, 11, 3]"
baseline_parameters_v1,v1,wi29,10,29,30,6666,0.15,0.01,0.0001,200010,35947,27603,8344,30.228598340760062,no,14.080168800079264,5103,189547,180601,34,19345,"[0, 1, 5, 10, 7, 2, 8, 14, 18, 22, 20, 27, 25, 24, 26, 23, 15, 19, 28, 21, 17, 16, 13, 12, 11, 9, 6, 3, 4]"
