experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,total_fitness_evaluations,best_route
v3-2opt-3opt-50runs,v3,wi29,20,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,8.989945591999458,6614,186632,174673,398,24909,0,0,0,0,2,0,0,0,0,0,9532,59,209544,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,21,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28502,27603,899,3.2568923667717278,no,9.440006675999939,6786,186288,174601,250,25129,0,0,0,0,1,0,0,0,0,0,6298,51,206309,"[0, 1, 5, 9, 10, 11, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,22,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,8.931880246999754,6638,186598,175547,240,24193,0,0,0,0,1,0,0,0,0,0,6259,50,206270,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,23,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28502,27603,899,3.2568923667717278,no,8.851959637999244,6765,186311,174507,322,25151,0,0,0,0,1,0,0,0,0,0,9856,70,209867,"[0, 1, 5, 9, 10, 11, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,24,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28502,27603,899,3.2568923667717278,no,9.37109896199945,6832,186213,174603,369,25008,0,0,0,0,1,0,0,0,0,0,5882,54,205893,"[0, 1, 5, 9, 10, 11, 14, 18, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 17, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,25,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28044,27603,441,1.5976524290837952,no,9.344775477999974,6750,186023,173825,330,25825,0,0,0,0,1,0,0,0,0,0,8796,52,208807,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v3-2opt-3opt-50runs,v3,wi29,26,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,9.466146964000473,6855,186168,174081,367,25532,0,0,0,0,2,0,0,0,0,0,7501,50,207513,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,27,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28590,27603,987,3.575698293663732,no,10.437413994000053,7573,184367,170259,550,29171,0,0,0,0,2,0,0,0,0,0,7104,50,207116,"[0, 1, 5, 9, 10, 11, 12, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 8, 6, 2, 3, 7, 4]"
v3-2opt-3opt-50runs,v3,wi29,28,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,28044,27603,441,1.5976524290837952,no,9.90814192400012,6651,186165,174582,462,24936,0,0,0,0,2,0,0,0,0,0,10375,64,210387,"[0, 1, 5, 9, 10, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 11, 7, 8, 6, 2, 3, 4]"
v3-2opt-3opt-50runs,v3,wi29,29,29,30,6666,0.15,0.01,0.0001,0.01,0.0001,200010,27750,27603,147,0.5325508096945984,no,10.510304163,7188,185446,172547,423,27010,0,0,0,0,2,0,0,0,0,0,9726,55,209738,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
